accession,display_name,tax_id,parent_tax_id,sci_name,strain,title,submission_date,seq_length,assembly_level
GCF_003836905.1,ASM383690v1,287,136841,Pseudomonas aeruginosa,CN573=PSE143,Pseudomonas aeruginosa,2018-11-26,6207871,Contig
GCF_003836875.1,ASM383687v1,287,136841,Pseudomonas aeruginosa,A17,Pseudomonas aeruginosa,2018-11-26,6208076,Contig
GCF_003836865.1,ASM383686v1,287,136841,Pseudomonas aeruginosa,A22,Pseudomonas aeruginosa,2018-11-26,6359543,Contig
GCF_003836835.1,ASM383683v1,287,136841,Pseudomonas aeruginosa,Mex2,Pseudomonas aeruginosa,2018-11-26,6359777,Contig
GCF_003836815.1,ASM383681v1,287,136841,Pseudomonas aeruginosa,5BR2,Pseudomonas aeruginosa,2018-11-26,6448008,Contig
GCF_003836805.1,ASM383680v1,287,136841,Pseudomonas aeruginosa,SWPA15J=NSWPA15a,Pseudomonas aeruginosa,2018-11-26,6272884,Contig
GCF_003836775.1,ASM383677v1,287,136841,Pseudomonas aeruginosa,Co380791,Pseudomonas aeruginosa,2018-11-26,7290475,Contig
GCF_003836765.1,ASM383676v1,287,136841,Pseudomonas aeruginosa,IDEXX_Canine4,Pseudomonas aeruginosa,2018-11-26,6752170,Contig
GCF_003836745.1,ASM383674v1,287,136841,Pseudomonas aeruginosa,CPHL1999,Pseudomonas aeruginosa,2018-11-26,6435089,Contig
GCF_003836725.1,ASM383672v1,287,136841,Pseudomonas aeruginosa,CPHL5083,Pseudomonas aeruginosa,2018-11-26,6597309,Contig
GCF_003836705.1,ASM383670v1,287,136841,Pseudomonas aeruginosa,IDEXX_Canine8,Pseudomonas aeruginosa,2018-11-26,6487401,Contig
GCF_003836685.1,ASM383668v1,287,136841,Pseudomonas aeruginosa,Tu61,Pseudomonas aeruginosa,2018-11-26,6426859,Contig
GCF_003836645.1,ASM383664v1,287,136841,Pseudomonas aeruginosa,CPHL6749,Pseudomonas aeruginosa,2018-11-26,6282158,Contig
GCF_003836635.1,ASM383663v1,287,136841,Pseudomonas aeruginosa,CPHL8058,Pseudomonas aeruginosa,2018-11-26,6558122,Scaffold
GCF_003836625.1,ASM383662v1,287,136841,Pseudomonas aeruginosa,CPHL10299,Pseudomonas aeruginosa,2018-11-26,6338295,Contig
GCF_003836605.1,ASM383660v1,287,136841,Pseudomonas aeruginosa,CPHL10662,Pseudomonas aeruginosa,2018-11-26,6952823,Contig
GCF_003836575.1,ASM383657v1,287,136841,Pseudomonas aeruginosa,J9UH1F,Pseudomonas aeruginosa,2018-11-26,6368316,Contig
GCF_003836565.1,ASM383656v1,287,136841,Pseudomonas aeruginosa,Jp54,Pseudomonas aeruginosa,2018-11-26,6959106,Contig
GCF_003836545.1,ASM383654v1,287,136841,Pseudomonas aeruginosa,Jp245,Pseudomonas aeruginosa,2018-11-26,6949410,Contig
GCF_003836525.1,ASM383652v1,287,136841,Pseudomonas aeruginosa,LiA133_2003,Pseudomonas aeruginosa,2018-11-26,6313463,Scaffold
GCF_003836505.1,ASM383650v1,287,136841,Pseudomonas aeruginosa,J80UH1OS1,Pseudomonas aeruginosa,2018-11-26,6197033,Contig
GCF_003836465.1,ASM383646v1,287,136841,Pseudomonas aeruginosa,LiA161_2005,Pseudomonas aeruginosa,2018-11-26,6487308,Contig
GCF_003836455.1,ASM383645v1,287,136841,Pseudomonas aeruginosa,LiA179_2006,Pseudomonas aeruginosa,2018-11-26,6315786,Contig
GCF_003836445.1,ASM383644v1,287,136841,Pseudomonas aeruginosa,W5Aug16,Pseudomonas aeruginosa,2018-11-26,6997822,Contig
GCF_003836415.1,ASM383641v1,287,136841,Pseudomonas aeruginosa,Br670,Pseudomonas aeruginosa,2018-11-26,7040528,Contig
GCF_003836405.1,ASM383640v1,287,136841,Pseudomonas aeruginosa,LiA18_2003,Pseudomonas aeruginosa,2018-11-26,6736296,Contig
GCF_003836385.1,ASM383638v1,287,136841,Pseudomonas aeruginosa,LiA63_2006,Pseudomonas aeruginosa,2018-11-26,6386542,Contig
GCF_003836355.1,ASM383635v1,287,136841,Pseudomonas aeruginosa,LMG2107,Pseudomonas aeruginosa,2018-11-26,6310510,Contig
GCF_003836345.1,ASM383634v1,287,136841,Pseudomonas aeruginosa,PhDW6,Pseudomonas aeruginosa,2018-11-26,6766082,Contig
GCF_003836315.1,ASM383631v1,287,136841,Pseudomonas aeruginosa,Mi159,Pseudomonas aeruginosa,2018-11-26,6412419,Contig
GCF_003836305.1,ASM383630v1,287,136841,Pseudomonas aeruginosa,Aa249,Pseudomonas aeruginosa,2018-11-26,7124686,Scaffold
GCF_003836275.1,ASM383627v1,287,136841,Pseudomonas aeruginosa,S2239_15,Pseudomonas aeruginosa,2018-11-26,6379256,Contig
GCF_003836255.1,ASM383625v1,287,136841,Pseudomonas aeruginosa,S2239_16,Pseudomonas aeruginosa,2018-11-26,6294628,Contig
GCF_003836245.1,ASM383624v1,287,136841,Pseudomonas aeruginosa,Cotonu1,Pseudomonas aeruginosa,2018-11-26,6762049,Contig
GCF_003836225.1,ASM383622v1,287,136841,Pseudomonas aeruginosa,PT31M,Pseudomonas aeruginosa,2018-11-26,6875486,Contig
GCF_003836205.1,ASM383620v1,287,136841,Pseudomonas aeruginosa,U0272B,Pseudomonas aeruginosa,2018-11-26,6207735,Contig
GCF_003836175.1,ASM383617v1,287,136841,Pseudomonas aeruginosa,TuD199,Pseudomonas aeruginosa,2018-11-26,6522246,Contig
GCF_003836165.1,ASM383616v1,287,136841,Pseudomonas aeruginosa,JD303,Pseudomonas aeruginosa,2018-11-26,6394600,Contig
GCF_003836135.1,ASM383613v1,287,136841,Pseudomonas aeruginosa,PMM38,Pseudomonas aeruginosa,2018-11-26,6662434,Scaffold
GCF_003836125.1,ASM383612v1,287,136841,Pseudomonas aeruginosa,U372,Pseudomonas aeruginosa,2018-11-26,6211156,Contig
GCF_003836085.1,ASM383608v1,287,136841,Pseudomonas aeruginosa,MSB2949,Pseudomonas aeruginosa,2018-11-26,6305515,Contig
GCF_003836075.1,ASM383607v1,287,136841,Pseudomonas aeruginosa,U421,Pseudomonas aeruginosa,2018-11-26,6201833,Contig
GCF_003836065.1,ASM383606v1,287,136841,Pseudomonas aeruginosa,MSB3405,Pseudomonas aeruginosa,2018-11-26,6293421,Contig
GCF_003836035.1,ASM383603v1,287,136841,Pseudomonas aeruginosa,U435,Pseudomonas aeruginosa,2018-11-26,6297634,Contig
GCF_003836025.1,ASM383602v1,287,136841,Pseudomonas aeruginosa,U0330A,Pseudomonas aeruginosa,2018-11-26,6413097,Contig
GCF_003836005.1,ASM383600v1,287,136841,Pseudomonas aeruginosa,DUN-001B,Pseudomonas aeruginosa,2018-11-26,6247925,Contig
GCF_003835985.1,ASM383598v1,287,136841,Pseudomonas aeruginosa,U350,Pseudomonas aeruginosa,2018-11-26,6246202,Contig
GCF_003835955.1,ASM383595v1,287,136841,Pseudomonas aeruginosa,U413A,Pseudomonas aeruginosa,2018-11-26,6328630,Contig
GCF_003835945.1,ASM383594v1,287,136841,Pseudomonas aeruginosa,DUN-001-3B,Pseudomonas aeruginosa,2018-11-26,6248039,Contig
GCF_003835915.1,ASM383591v1,287,136841,Pseudomonas aeruginosa,U454A,Pseudomonas aeruginosa,2018-11-26,6290391,Contig
GCF_003835905.1,ASM383590v1,287,136841,Pseudomonas aeruginosa,DUN-001-4,Pseudomonas aeruginosa,2018-11-26,6245212,Contig
GCF_003835875.1,ASM383587v1,287,136841,Pseudomonas aeruginosa,DUN-001-2A,Pseudomonas aeruginosa,2018-11-26,6245484,Scaffold
GCF_003835865.1,ASM383586v1,287,136841,Pseudomonas aeruginosa,DUN-008,Pseudomonas aeruginosa,2018-11-26,6549897,Contig
GCF_003835835.1,ASM383583v1,287,136841,Pseudomonas aeruginosa,DUN-001-2B,Pseudomonas aeruginosa,2018-11-26,6247750,Contig
GCF_003835825.1,ASM383582v1,287,136841,Pseudomonas aeruginosa,DUN-001-3A,Pseudomonas aeruginosa,2018-11-26,6242584,Contig
GCF_003835785.1,ASM383578v1,287,136841,Pseudomonas aeruginosa,001-5A,Pseudomonas aeruginosa,2018-11-26,6249387,Contig
GCF_003835775.1,ASM383577v1,287,136841,Pseudomonas aeruginosa,DUN-009B,Pseudomonas aeruginosa,2018-11-26,6519630,Contig
GCF_003835765.1,ASM383576v1,287,136841,Pseudomonas aeruginosa,DUN-007-2,Pseudomonas aeruginosa,2018-11-26,6772074,Scaffold
GCF_003835725.1,ASM383572v1,287,136841,Pseudomonas aeruginosa,DUN-015A,Pseudomonas aeruginosa,2018-11-26,6843059,Contig
GCF_003835715.1,ASM383571v1,287,136841,Pseudomonas aeruginosa,DUN-024-1,Pseudomonas aeruginosa,2018-11-26,6733997,Contig
GCF_003835695.1,ASM383569v1,287,136841,Pseudomonas aeruginosa,A3,Pseudomonas aeruginosa,2018-11-26,7056438,Contig
GCF_003835685.1,ASM383568v1,287,136841,Pseudomonas aeruginosa,014-2A,Pseudomonas aeruginosa,2018-11-26,6545219,Contig
GCF_003835665.1,ASM383566v1,287,136841,Pseudomonas aeruginosa,B2,Pseudomonas aeruginosa,2018-11-26,6897953,Contig
GCF_003835645.1,ASM383564v1,287,136841,Pseudomonas aeruginosa,LiP4,Pseudomonas aeruginosa,2018-11-26,6257647,Contig
GCF_003835595.1,ASM383559v1,287,136841,Pseudomonas aeruginosa,LiP6,Pseudomonas aeruginosa,2018-11-26,6469758,Contig
GCF_003835585.1,ASM383558v1,287,136841,Pseudomonas aeruginosa,LiP8,Pseudomonas aeruginosa,2018-11-26,6481082,Contig
GCF_003835575.1,ASM383557v1,287,136841,Pseudomonas aeruginosa,LiP11,Pseudomonas aeruginosa,2018-11-26,6396764,Contig
GCF_003835565.1,ASM383556v1,287,136841,Pseudomonas aeruginosa,LiP13,Pseudomonas aeruginosa,2018-11-26,6360730,Contig
GCF_003835545.1,ASM383554v1,287,136841,Pseudomonas aeruginosa,LiP14,Pseudomonas aeruginosa,2018-11-26,6454131,Contig
GCF_003835525.1,ASM383552v1,287,136841,Pseudomonas aeruginosa,LiP12,Pseudomonas aeruginosa,2018-11-26,6458237,Contig
GCF_003835495.1,ASM383549v1,287,136841,Pseudomonas aeruginosa,S54485,Pseudomonas aeruginosa,2018-11-26,6864662,Contig
GCF_003835485.1,ASM383548v1,287,136841,Pseudomonas aeruginosa,HB159,Pseudomonas aeruginosa,2018-11-26,7022734,Contig
GCF_003835455.1,ASM383545v1,287,136841,Pseudomonas aeruginosa,C7(T3583),Pseudomonas aeruginosa,2018-11-26,6908303,Contig
GCF_003835445.1,ASM383544v1,287,136841,Pseudomonas aeruginosa,A1(A2448),Pseudomonas aeruginosa,2018-11-26,7092398,Contig
GCF_003835405.1,ASM383540v1,287,136841,Pseudomonas aeruginosa,A3(H638),Pseudomonas aeruginosa,2018-11-26,7150152,Contig
GCF_003835395.1,ASM383539v1,287,136841,Pseudomonas aeruginosa,HM293,Pseudomonas aeruginosa,2018-11-26,6735475,Contig
GCF_003835385.1,ASM383538v1,287,136841,Pseudomonas aeruginosa,C8(T3532),Pseudomonas aeruginosa,2018-11-26,6912106,Contig
GCF_003835365.1,ASM383536v1,287,136841,Pseudomonas aeruginosa,CF5,Pseudomonas aeruginosa,2018-11-26,6890506,Contig
GCF_003835335.1,ASM383533v1,287,136841,Pseudomonas aeruginosa,JYH8,Pseudomonas aeruginosa,2018-11-26,6474170,Contig
GCF_003835325.1,ASM383532v1,287,136841,Pseudomonas aeruginosa,001-5B,Pseudomonas aeruginosa,2018-11-26,6248425,Contig
GCF_003835295.1,ASM383529v1,287,136841,Pseudomonas aeruginosa,001-6,Pseudomonas aeruginosa,2018-11-26,6234996,Contig
GCF_003835285.1,ASM383528v1,287,136841,Pseudomonas aeruginosa,DUN-002C,Pseudomonas aeruginosa,2018-11-26,6501395,Contig
GCF_003835265.1,ASM383526v1,287,136841,Pseudomonas aeruginosa,JYH10,Pseudomonas aeruginosa,2018-11-26,6846930,Contig
GCF_003835245.1,ASM383524v1,287,136841,Pseudomonas aeruginosa,DUN-003B,Pseudomonas aeruginosa,2018-11-26,6193687,Contig
GCF_003835185.1,ASM383518v1,287,136841,Pseudomonas aeruginosa,DUN-006,Pseudomonas aeruginosa,2018-11-26,6733675,Scaffold
GCF_003835175.1,ASM383517v1,287,136841,Pseudomonas aeruginosa,010-4,Pseudomonas aeruginosa,2018-11-26,7073135,Contig
GCF_003835165.1,ASM383516v1,287,136841,Pseudomonas aeruginosa,DUN-004,Pseudomonas aeruginosa,2018-11-26,6647278,Contig
GCF_003835155.1,ASM383515v1,287,136841,Pseudomonas aeruginosa,DUN-018,Pseudomonas aeruginosa,2018-11-26,6601684,Contig
GCF_003835145.1,ASM383514v1,287,136841,Pseudomonas aeruginosa,DUN-013,Pseudomonas aeruginosa,2018-11-26,6438830,Contig
GCF_003835115.1,ASM383511v1,287,136841,Pseudomonas aeruginosa,DUN-001A,Pseudomonas aeruginosa,2018-11-26,6245434,Contig
GCF_003835095.1,ASM383509v1,287,136841,Pseudomonas aeruginosa,020MIC,Pseudomonas aeruginosa,2018-11-26,6782443,Contig
GCF_003835085.1,ASM383508v1,287,136841,Pseudomonas aeruginosa,E2_H133420224,Pseudomonas aeruginosa,2018-11-26,6994546,Contig
GCF_003835055.1,ASM383505v1,287,136841,Pseudomonas aeruginosa,C3,Pseudomonas aeruginosa,2018-11-26,6912213,Contig
GCF_003835045.1,ASM383504v1,287,136841,Pseudomonas aeruginosa,F2,Pseudomonas aeruginosa,2018-11-26,6914814,Contig
GCF_003835015.1,ASM383501v1,287,136841,Pseudomonas aeruginosa,G2,Pseudomonas aeruginosa,2018-11-26,6838014,Contig
GCF_003835005.1,ASM383500v1,287,136841,Pseudomonas aeruginosa,LiP1a,Pseudomonas aeruginosa,2018-11-26,6480850,Contig
GCF_003834985.1,ASM383498v1,287,136841,Pseudomonas aeruginosa,D1,Pseudomonas aeruginosa,2018-11-26,6850376,Contig
GCF_003834965.1,ASM383496v1,287,136841,Pseudomonas aeruginosa,LiP2a,Pseudomonas aeruginosa,2018-11-26,6483673,Contig
GCF_003834945.1,ASM383494v1,287,136841,Pseudomonas aeruginosa,H3,Pseudomonas aeruginosa,2018-11-26,6365570,Contig
GCF_003834925.1,ASM383492v1,287,136841,Pseudomonas aeruginosa,LiP3,Pseudomonas aeruginosa,2018-11-26,6455927,Contig
GCF_003834895.1,ASM383489v1,287,136841,Pseudomonas aeruginosa,LiP1c,Pseudomonas aeruginosa,2018-11-26,6482892,Contig
GCF_003834885.1,ASM383488v1,287,136841,Pseudomonas aeruginosa,LiP1d,Pseudomonas aeruginosa,2018-11-26,6818673,Contig
GCF_003834865.1,ASM383486v1,287,136841,Pseudomonas aeruginosa,LiP9,Pseudomonas aeruginosa,2018-11-26,6477494,Contig
GCF_003834835.1,ASM383483v1,287,136841,Pseudomonas aeruginosa,LiP2b,Pseudomonas aeruginosa,2018-11-26,6483513,Contig
GCF_003834825.1,ASM383482v1,287,136841,Pseudomonas aeruginosa,E9(4068),Pseudomonas aeruginosa,2018-11-26,7068852,Contig
GCF_003834805.1,ASM383480v1,287,136841,Pseudomonas aeruginosa,LiP2c,Pseudomonas aeruginosa,2018-11-26,6478237,Contig
GCF_003834785.1,ASM383478v1,287,136841,Pseudomonas aeruginosa,LiP5,Pseudomonas aeruginosa,2018-11-26,6479244,Contig
GCF_003834765.1,ASM383476v1,287,136841,Pseudomonas aeruginosa,LiP7,Pseudomonas aeruginosa,2018-11-26,6516290,Contig
GCF_003834745.1,ASM383474v1,287,136841,Pseudomonas aeruginosa,LiP10a,Pseudomonas aeruginosa,2018-11-26,6484000,Contig
GCF_003834725.1,ASM383472v1,287,136841,Pseudomonas aeruginosa,LiP10b,Pseudomonas aeruginosa,2018-11-26,6481532,Contig
GCF_003834685.1,ASM383468v1,287,136841,Pseudomonas aeruginosa,B3(T2101),Pseudomonas aeruginosa,2018-11-26,6919171,Contig
GCF_003834665.1,ASM383466v1,287,136841,Pseudomonas aeruginosa,B9(T2436),Pseudomonas aeruginosa,2018-11-26,7150150,Contig
GCF_003834655.1,ASM383465v1,287,136841,Pseudomonas aeruginosa,HM294,Pseudomonas aeruginosa,2018-11-26,6741483,Scaffold
GCF_003834645.1,ASM383464v1,287,136841,Pseudomonas aeruginosa,HM299,Pseudomonas aeruginosa,2018-11-26,6742609,Contig
GCF_003834615.1,ASM383461v1,287,136841,Pseudomonas aeruginosa,HM306,Pseudomonas aeruginosa,2018-11-26,6719425,Contig
GCF_003834605.1,ASM383460v1,287,136841,Pseudomonas aeruginosa,HM307,Pseudomonas aeruginosa,2018-11-26,6718440,Contig
GCF_003834585.1,ASM383458v1,287,136841,Pseudomonas aeruginosa,HM300,Pseudomonas aeruginosa,2018-11-26,6724726,Contig
GCF_003834565.1,ASM383456v1,287,136841,Pseudomonas aeruginosa,HM301,Pseudomonas aeruginosa,2018-11-26,6722556,Contig
GCF_003834545.1,ASM383454v1,287,136841,Pseudomonas aeruginosa,JJ692,Pseudomonas aeruginosa,2018-11-26,6691266,Contig
GCF_003834525.1,ASM383452v1,287,136841,Pseudomonas aeruginosa,HM324,Pseudomonas aeruginosa,2018-11-26,6717181,Contig
GCF_003834495.1,ASM383449v1,287,136841,Pseudomonas aeruginosa,U2504,Pseudomonas aeruginosa,2018-11-26,6827994,Contig
GCF_003834465.1,ASM383446v1,287,136841,Pseudomonas aeruginosa,D9 3362,Pseudomonas aeruginosa,2018-11-26,7184787,Scaffold
GCF_003834445.1,ASM383444v1,287,136841,Pseudomonas aeruginosa,CF127,Pseudomonas aeruginosa,2018-11-26,6972917,Contig
GCF_003834405.1,ASM383440v1,287,136841,Pseudomonas aeruginosa,JYH24,Pseudomonas aeruginosa,2018-11-26,6391024,Contig
GCF_003834395.1,ASM383439v1,287,136841,Pseudomonas aeruginosa,JYH18,Pseudomonas aeruginosa,2018-11-26,6963169,Contig
GCF_003834385.1,ASM383438v1,287,136841,Pseudomonas aeruginosa,JYH16,Pseudomonas aeruginosa,2018-11-26,6503793,Contig
GCF_003834355.1,ASM383435v1,287,136841,Pseudomonas aeruginosa,X24509,Pseudomonas aeruginosa,2018-11-26,6405850,Contig
GCF_003834335.1,ASM383433v1,287,136841,Pseudomonas aeruginosa,JYH14,Pseudomonas aeruginosa,2018-11-26,6823394,Scaffold
GCF_003834325.1,ASM383432v1,287,136841,Pseudomonas aeruginosa,JYH6,Pseudomonas aeruginosa,2018-11-26,6904684,Contig
GCF_003834305.1,ASM383430v1,287,136841,Pseudomonas aeruginosa,CF27,Pseudomonas aeruginosa,2018-11-26,6492407,Contig
GCF_003834285.1,ASM383428v1,287,136841,Pseudomonas aeruginosa,JYH12,Pseudomonas aeruginosa,2018-11-26,6758202,Contig
GCF_003834265.1,ASM383426v1,287,136841,Pseudomonas aeruginosa,175BR,Pseudomonas aeruginosa,2018-11-26,6854066,Contig
GCF_003834235.1,ASM383423v1,287,136841,Pseudomonas aeruginosa,E1(T4189),Pseudomonas aeruginosa,2018-11-26,6334840,Contig
GCF_003834225.1,ASM383422v1,287,136841,Pseudomonas aeruginosa,172BR,Pseudomonas aeruginosa,2018-11-26,6859879,Contig
GCF_003834195.1,ASM383419v1,287,136841,Pseudomonas aeruginosa,36BR,Pseudomonas aeruginosa,2018-11-26,6709379,Contig
GCF_003834185.1,ASM383418v1,287,136841,Pseudomonas aeruginosa,PA-W3,Pseudomonas aeruginosa,2018-11-26,6764960,Contig
GCF_003834165.1,ASM383416v1,287,136841,Pseudomonas aeruginosa,JYH26,Pseudomonas aeruginosa,2018-11-26,6890397,Contig
GCF_003834135.1,ASM383413v1,287,136841,Pseudomonas aeruginosa,211BR,Pseudomonas aeruginosa,2018-11-26,6759888,Contig
GCF_003834125.1,ASM383412v1,287,136841,Pseudomonas aeruginosa,PA-W24,Pseudomonas aeruginosa,2018-11-26,6966367,Contig
GCF_003834105.1,ASM383410v1,287,136841,Pseudomonas aeruginosa,PA-W14,Pseudomonas aeruginosa,2018-11-26,6785995,Contig
GCF_003834085.1,ASM383408v1,287,136841,Pseudomonas aeruginosa,PA-W21,Pseudomonas aeruginosa,2018-11-26,6794261,Contig
GCF_003834035.1,ASM383403v1,287,136841,Pseudomonas aeruginosa,PA-W43,Pseudomonas aeruginosa,2018-11-26,6858332,Contig
GCF_003834025.1,ASM383402v1,287,136841,Pseudomonas aeruginosa,PA-W28,Pseudomonas aeruginosa,2018-11-26,6782248,Contig
GCF_003834015.1,ASM383401v1,287,136841,Pseudomonas aeruginosa,PA-W31,Pseudomonas aeruginosa,2018-11-26,7066300,Contig
GCF_003834005.1,ASM383400v1,287,136841,Pseudomonas aeruginosa,PA-W39,Pseudomonas aeruginosa,2018-11-26,7056495,Contig
GCF_003833965.1,ASM383396v1,287,136841,Pseudomonas aeruginosa,AL363(Israel 14),Pseudomonas aeruginosa,2018-11-26,6362159,Contig
GCF_003833955.1,ASM383395v1,287,136841,Pseudomonas aeruginosa,PA-W42,Pseudomonas aeruginosa,2018-11-26,7077299,Contig
GCF_003833935.1,ASM383393v1,287,136841,Pseudomonas aeruginosa,G1-WATER-2A,Pseudomonas aeruginosa,2018-11-26,6848242,Contig
GCF_003833925.1,ASM383392v1,287,136841,Pseudomonas aeruginosa,HM308,Pseudomonas aeruginosa,2018-11-26,6720930,Contig
GCF_003833905.1,ASM383390v1,287,136841,Pseudomonas aeruginosa,HB392,Pseudomonas aeruginosa,2018-11-26,7024402,Contig
GCF_003833885.1,ASM383388v1,287,136841,Pseudomonas aeruginosa,205BR,Pseudomonas aeruginosa,2018-11-26,6724009,Contig
GCF_003833865.1,ASM383386v1,287,136841,Pseudomonas aeruginosa,21BR,Pseudomonas aeruginosa,2018-11-26,6668862,Contig
GCF_003833845.1,ASM383384v1,287,136841,Pseudomonas aeruginosa,AA44,Pseudomonas aeruginosa,2018-11-26,6255383,Contig
GCF_003833825.1,ASM383382v1,287,136841,Pseudomonas aeruginosa,JYH22,Pseudomonas aeruginosa,2018-11-26,6518676,Contig
GCF_003833805.1,ASM383380v1,287,136841,Pseudomonas aeruginosa,JYH28,Pseudomonas aeruginosa,2018-11-26,6269401,Contig
GCF_003833785.1,ASM383378v1,287,136841,Pseudomonas aeruginosa,PA-W4,Pseudomonas aeruginosa,2018-11-26,6790668,Contig
GCF_003833765.1,ASM383376v1,287,136841,Pseudomonas aeruginosa,PA-W5,Pseudomonas aeruginosa,2018-11-26,7072726,Contig
GCF_003833745.1,ASM383374v1,287,136841,Pseudomonas aeruginosa,AA43,Pseudomonas aeruginosa,2018-11-26,6263575,Contig
GCF_003833715.1,ASM383371v1,287,136841,Pseudomonas aeruginosa,PA-W16,Pseudomonas aeruginosa,2018-11-26,6508896,Contig
GCF_003833705.1,ASM383370v1,287,136841,Pseudomonas aeruginosa,PA-W23,Pseudomonas aeruginosa,2018-11-26,6614306,Contig
GCF_003833685.1,ASM383368v1,287,136841,Pseudomonas aeruginosa,PA-W1,Pseudomonas aeruginosa,2018-11-26,6311613,Contig
GCF_003833665.1,ASM383366v1,287,136841,Pseudomonas aeruginosa,PA-W10,Pseudomonas aeruginosa,2018-11-26,6707240,Contig
GCF_003833645.1,ASM383364v1,287,136841,Pseudomonas aeruginosa,PA-W33,Pseudomonas aeruginosa,2018-11-26,6985081,Contig
GCF_003833625.1,ASM383362v1,287,136841,Pseudomonas aeruginosa,PA-W37,Pseudomonas aeruginosa,2018-11-26,6322616,Contig
GCF_003833605.1,ASM383360v1,287,136841,Pseudomonas aeruginosa,PA-W38,Pseudomonas aeruginosa,2018-11-26,6799167,Contig
GCF_003833585.1,ASM383358v1,287,136841,Pseudomonas aeruginosa,PA-W29,Pseudomonas aeruginosa,2018-11-26,6461489,Contig
GCF_003833565.1,ASM383356v1,287,136841,Pseudomonas aeruginosa,PA-W32,Pseudomonas aeruginosa,2018-11-26,6881264,Contig
GCF_003833545.1,ASM383354v1,287,136841,Pseudomonas aeruginosa,PA-W36,Pseudomonas aeruginosa,2018-11-26,7039330,Contig
GCF_003833525.1,ASM383352v1,287,136841,Pseudomonas aeruginosa,PA-W46,Pseudomonas aeruginosa,2018-11-26,6403390,Contig
GCF_003833485.1,ASM383348v1,287,136841,Pseudomonas aeruginosa,PA-W44,Pseudomonas aeruginosa,2018-11-26,6386870,Contig
GCF_003833465.1,ASM383346v1,287,136841,Pseudomonas aeruginosa,F1-DN-2,Pseudomonas aeruginosa,2018-11-26,6745540,Contig
GCF_003833455.1,ASM383345v1,287,136841,Pseudomonas aeruginosa,AL561,Pseudomonas aeruginosa,2018-11-26,6567128,Contig
GCF_003833445.1,ASM383344v1,287,136841,Pseudomonas aeruginosa,AL191,Pseudomonas aeruginosa,2018-11-26,6589375,Contig
GCF_003833425.1,ASM383342v1,287,136841,Pseudomonas aeruginosa,PA-W45,Pseudomonas aeruginosa,2018-11-26,6505162,Contig
GCF_003833395.1,ASM383339v1,287,136841,Pseudomonas aeruginosa,E1-WATER-2,Pseudomonas aeruginosa,2018-11-26,6989446,Contig
GCF_003833385.1,ASM383338v1,287,136841,Pseudomonas aeruginosa,E2-DN-2,Pseudomonas aeruginosa,2018-11-26,6687574,Contig
GCF_003813025.1,ASM381302v1,287,136841,Pseudomonas aeruginosa,FDAARGOS_570,Pseudomonas aeruginosa,2018-11-21,7155137,Complete Genome
GCF_003813005.1,ASM381300v1,287,136841,Pseudomonas aeruginosa,FDAARGOS_505,Pseudomonas aeruginosa,2018-11-21,7029824,Complete Genome
GCF_003812905.1,ASM381290v1,287,136841,Pseudomonas aeruginosa,FDAARGOS_501,Pseudomonas aeruginosa,2018-11-21,6865838,Complete Genome
GCF_003812885.1,ASM381288v1,287,136841,Pseudomonas aeruginosa,FDAARGOS_571,Pseudomonas aeruginosa,2018-11-21,6999770,Complete Genome
GCF_003812165.1,ASM381216v1,287,136841,Pseudomonas aeruginosa,FDAARGOS_532,Pseudomonas aeruginosa,2018-11-21,6931252,Complete Genome
GCF_003798145.1,ASM379814v1,287,136841,Pseudomonas aeruginosa,H26023,Pseudomonas aeruginosa,2018-11-20,6729216,Complete Genome
GCF_003798125.1,ASM379812v1,287,136841,Pseudomonas aeruginosa,H25883,Pseudomonas aeruginosa,2018-11-20,6706800,Complete Genome
GCF_003798105.1,ASM379810v1,287,136841,Pseudomonas aeruginosa,H26027,Pseudomonas aeruginosa,2018-11-20,7079598,Complete Genome
GCF_003725635.1,ASM372563v1,287,136841,Pseudomonas aeruginosa,PS1,Pseudomonas aeruginosa,2018-11-13,6720818,Scaffold
GCF_003721395.1,ASM372139v1,287,136841,Pseudomonas aeruginosa,163940,Pseudomonas aeruginosa,2018-11-11,6263703,Scaffold
GCF_003716765.1,ASM371676v1,287,136841,Pseudomonas aeruginosa,SP4528,Pseudomonas aeruginosa,2018-11-07,6877287,Complete Genome
GCF_003703855.1,ASM370385v1,287,136841,Pseudomonas aeruginosa,PS00100,Pseudomonas aeruginosa,2018-10-31,6804509,Contig
GCF_003703685.1,ASM370368v1,287,136841,Pseudomonas aeruginosa,ER06896,Pseudomonas aeruginosa,2018-10-30,6766003,Contig
GCF_003698855.1,ASM369885v1,287,136841,Pseudomonas aeruginosa,EC22,Pseudomonas aeruginosa,2018-10-30,6209179,Contig
GCF_003698835.1,ASM369883v1,287,136841,Pseudomonas aeruginosa,D429(Q),Pseudomonas aeruginosa,2018-10-30,6586986,Contig
GCF_003698825.1,ASM369882v1,287,136841,Pseudomonas aeruginosa,AF9A,Pseudomonas aeruginosa,2018-10-30,6258177,Scaffold
GCF_003698795.1,ASM369879v1,287,136841,Pseudomonas aeruginosa,FA0A,Pseudomonas aeruginosa,2018-10-30,6673541,Contig
